Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1968","54446.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1969","59779.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1970","60551.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1971","73293.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1972","65760.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1973","61608.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1974","70240.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1975","72454.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1976","71545.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1977","96357.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1978","103600.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1979","122121.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1980","120031.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1981","102393.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1982","118178.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1983","140005.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1984","161420.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1985","153337.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1986","190373.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1987","191301.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1988","217252.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1989","221038.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1990","211099.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1991","205798.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1992","201303.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1993","223768.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1994","201341.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1995","183312.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1996","184942.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1997","215180.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1998","227270.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","1999","209496.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2000","237960.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2001","258594.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2002","258882.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2003","266046.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2004","285443.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2005","291054.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2006","290743.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2007","294329.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2008","302020.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2009","307434.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2010","307777.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2011","327650.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2012","319357.00","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","351","China","5910","Export Quantity","667","Tea","2013","332172.00","A","Aggregate, may include official, semi-official, estimated or calculated data"

FAOSTAT Date: Mon Apr 25 10:19:17 CEST 2016
